X,Y,id,
-71.1069398,42.3534358,8614910,
-71.1067399,42.3534382,8614910,
-71.106549,42.3534426,8614910,
-71.1063381,42.353449,8614910,
-71.1061373,42.3534588,8614910,
-71.105931,42.3534693,8614910,
-71.1057238,42.3534816,8614910,
-71.1055114,42.3534936,8614910,
-71.1053208,42.3535053,8614910,
-71.1051308,42.3535195,8614910,
-71.1049469,42.3535357,8614910,
-71.1047737,42.3535504,8614910,
-71.1046257,42.3535672,8614910,
-71.1044464,42.3535922,8614910,
-71.1042818,42.3536188,8614910,
-71.1041062,42.3536489,8614910,
-71.1039463,42.3536824,8614910,
-71.1037951,42.3537156,8614910,
-71.103619,42.3537574,8614910,
-71.1034448,42.3538026,8614910,
-71.1032896,42.3538479,8614910,
-71.1031234,42.3538977,8614910,
-71.1029516,42.3539523,8614910,
-71.1004044,42.3547978,8614910,
-71.1004044,42.3547978,8614910,
-71.103619,42.3537574,8614910,
-71.105111,42.367096,8614911,
-71.105819,42.367533,8614911,
-71.105111,42.367096,8614911,
-71.100812,42.366314,8614916,
-71.100592,42.366231,8614916,
-71.100592,42.366231,8614916,
-71.0917717,42.3662868,8614918,
-71.0917717,42.3662868,8614918,
-71.0917072,42.3663952,8614918,
-71.0915377,42.3667036,8614918,
-71.1109861,42.3546499,8614937,
-71.1103259,42.353985,8614937,
-71.1103259,42.353985,8614937,
-71.1103122,42.3540668,8614937,
-71.1103206,42.3541276,8614937,
-71.1103398,42.354207,8614937,
-71.1103646,42.3542656,8614937,
-71.1103895,42.3543245,8614937,
-71.1104244,42.3543949,8614937,
-71.1104767,42.3544635,8614937,
